Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;GUT003__Befoerderte_Gueter__t;GUT004__Befoerderungsleistung__tkm
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERINNERHALB;Verkehr innerhalb Deutschlands;201725248;44412331208
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERSANDAUSSER;Grenzüberschreitender Versand;48220060;20865121275
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;EMPFANGAUSSER;Grenzüberschreitender Empfang;51123597;19223183757
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERDURCHGANG;Durchgangsverkehr;16224923;10919856905
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;;Insgesamt;317293828;95420493145
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERINNERHALB;Verkehr innerhalb Deutschlands;217889529;50523669000
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERSANDAUSSER;Grenzüberschreitender Versand;54627719;23831035992
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;EMPFANGAUSSER;Grenzüberschreitender Empfang;56147183;21201601475
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;VERDURCHGANG;Durchgangsverkehr;17453659;11451049129
46131;Güterverkehrsstatistik der Eisenbahn;JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;VERVZ1;Hauptverkehrsbeziehungen;;Insgesamt;346118090;107007355596
