GENESIS-Tabelle: 46231-0001
Beförderte Gütermenge und Beförderungsleistung;;;;;;;;;;;;
(Straßengüterverkehr): Deutschland, Jahre, Verkehrswege;;;;;;;;;;;;
Straßengüterverkehrsstatistik;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;
;Verkehrswege;Verkehrswege;Verkehrswege;Verkehrswege;Verkehrswege;Verkehrswege;Verkehrswege;Verkehrswege;Verkehrswege;Verkehrswege;Verkehrswege;Verkehrswege
;Gewerblicher Verkehr und Werkverkehr insgesamt;Gewerblicher Verkehr und Werkverkehr insgesamt;Binnenverkehr;Binnenverkehr;Grenzüberschreitender Verkehr;Grenzüberschreitender Verkehr;Grenzüberschreitender Versand;Grenzüberschreitender Versand;Grenzüberschreitender Empfang;Grenzüberschreitender Empfang;Kabotage;Kabotage
;Beförderte Gütermenge;Beförderungsleistung;Beförderte Gütermenge;Beförderungsleistung;Beförderte Gütermenge;Beförderungsleistung;Beförderte Gütermenge;Beförderungsleistung;Beförderte Gütermenge;Beförderungsleistung;Beförderte Gütermenge;Beförderungsleistung
;1000 t;Mill. Tkm;1000 t;Mill. Tkm;1000 t;Mill. Tkm;1000 t;Mill. Tkm;1000 t;Mill. Tkm;1000 t;Mill. Tkm
1995;3169559;237798;3098234;201299;71094;36426;35109;17781;30762;15883;-;-
1996;3014946;236584;2941570;199196;68756;36543;36609;18117;29449;15771;-;845
1997;2980981;245881;2899931;203119;77302;42044;39666;20929;34296;17822;/;718
1998;2968023;257447;2880689;210402;82420;46028;41966;22607;36468;19566;/;1016
1999;3181363;278470;3083583;226892;91025;50045;47250;24474;39005;21217;6756;1533
2000;3005104;280699;2901152;226520;96683;52771;49878;26196;41997;22488;7269;1408
2001;2884479;288955;2768884;230008;106718;57259;55366;28750;45096;23401;8877;1688
2002;2720163;285207;2607076;225467;104517;58138;55101;28440;42660;23734;8571;1602
2003;2743858;290918;2618830;227197;116050;62155;61659;31692;47425;24883;8978;1565
2004;2767167;303744;2625007;232295;130110;69504;70367;34796;52225;28142;12051;1944
2005;2764983;310114;2612641;237609;135345;70248;73185;34847;53001;27716;16997;2257
2006;2919325;330008;2758467;251372;146047;76363;76177;36799;60061;30872;14812;2273
2007;3027941;343438;2847276;261432;158763;79460;84028;38817;64290;31900;21902;2546
2008;3077845;341551;2895469;264538;157399;74232;84233;36089;62599;29525;24977;2781
2009;2768694;307575;2625026;245597;130496;60194;70444;30261;51913;23539;13172;1785
2010;2734098;313097;2594703;252455;127369;58667;67902;29387;52182;23460;12027;1975
2011;2986182;323848;2844037;265018;128517;56803;70305;29009;51018;22475;13628;2028
2012;2891308;307106;2760640;254491;119546;50851;65595;26406;47797;20030;11122;1764
2013;2938189;305781;2809265;256715;117039;47277;63608;24443;47564;18868;11883;1786
2014;3052072;310142;2924158;263024;115870;45348;64358;23326;45556;18204;12044;1770
2015;3035334;314816;2910109;269651;112832;43374;62568;22902;44494;17095;12393;1792
2016;3111819;315769;2985961;271676;115943;42478;64198;22319;45729;16660;9916;1614
2017;3161781;313143;3036746;271662;113381;39821;62916;20938;44229;15619;11654;1660
2018;3200890;316767;3078217;276147;111647;39088;62620;20588;42783;15213;11026;1532
2019;3208197;311869;3093837;274032;104142;36183;58001;19034;40178;13842;10218;1654
2020;3119624;304610;3012816;269925;97733;33379;55810;17816;36504;12714;9074;1306
2021;3107972;307277;2996781;271999;102531;34033;58620;18292;38284;12994;8661;1245
2022;3060939;303944;2954734;268553;96886;33881;55070;17914;36112;12972;9319;1509
__________
Quelle: Kraftfahrt-Bundesamt, Flensburg
© Statistisches Bundesamt (Destatis), 2023
Stand: 07.06.2023 / 16:16:00
