GENESIS-Tabelle: 81000-0001
VGR des Bundes - Bruttowertschöpfung, Bruttoinlandsprodukt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(nominal/preisbereinigt): Deutschland, Jahre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Volkswirtschaftliche Gesamtrechnungen des Bundes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
in jeweiligen Preisen (Mrd. EUR);Bruttowertschöpfung;jew. ME;1442,996;1547,253;1588,401;1651,639;1716,521;1741,658;1779,073;1825,860;1856,619;1901,809;1962,576;1987,125;1996,524;2049,674;2069,658;2156,957;2247,830;2289,553;2192,834;2305,684;2418,099;2465,800;2527,883;2635,393;2722,020;2822,443;2944,074;3032,736;3129,717;3087,963;3258,567;3502,237
in jeweiligen Preisen (Mrd. EUR);Gütersteuern abzügl. Gütersubventionen;jew. ME;142,804;154,807;162,489;177,911;178,089;179,722;182,077;188,560;202,861;207,281;209,964;210,995;215,046;212,846;218,652;228,123;251,720;256,937;252,896;258,716;275,461;279,510;283,467;292,037;304,160;312,297;323,086;332,714;343,543;317,467;343,183;367,663
in jeweiligen Preisen (Mrd. EUR);     Gütersteuern;jew. ME;152,551;163,576;173,491;188,751;189,572;189,529;192,202;198,970;213,560;217,979;220,622;221,847;226,182;224,113;225,947;235,275;258,592;263,381;263,632;266,178;281,909;285,975;290,226;298,774;310,942;319,143;329,847;339,600;350,942;325,939;365,008;390,639
in jeweiligen Preisen (Mrd. EUR);     Gütersubventionen;jew. ME;9,747;8,769;11,002;10,840;11,483;9,807;10,125;10,410;10,699;10,698;10,658;10,852;11,136;11,267;7,295;7,152;6,872;6,444;10,736;7,462;6,448;6,465;6,759;6,737;6,782;6,846;6,761;6,886;7,399;8,472;21,825;22,976
in jeweiligen Preisen (Mrd. EUR);Bruttoinlandsprodukt;jew. ME;1585,800;1702,060;1750,890;1829,550;1894,610;1921,380;1961,150;2014,420;2059,480;2109,090;2172,540;2198,120;2211,570;2262,520;2288,310;2385,080;2499,550;2546,490;2445,730;2564,400;2693,560;2745,310;2811,350;2927,430;3026,180;3134,740;3267,160;3365,450;3473,260;3405,430;3601,750;3869,900
in jeweiligen Preisen (Mrd. EUR);nachr.: Bruttoinlandsprodukt (Veränderung in %);Prozent;-;7,3;2,9;4,5;3,6;1,4;2,1;2,7;2,2;2,4;3,0;1,2;0,6;2,3;1,1;4,2;4,8;1,9;-4,0;4,9;5,0;1,9;2,4;4,1;3,4;3,6;4,2;3,0;3,2;-2,0;5,8;7,4
in jeweiligen Preisen (Mrd. EUR);nachr.: Bruttoinlandsprodukt je Einwohner;jew. ME;19829,000;21144,000;21630,000;22546,000;23302,000;23585,000;24060,000;24733,000;25294,000;25892,000;26651,000;26945,000;27120,000;27776,000;28134,000;29383,000;30862,000;31530,000;30388,000;31942,000;33554,000;34135,000;34860,000;36149,000;37046,000;38067,000;39527,000;40594,000;41800,000;40950,000;43292,000;46182,000
__________
"jew. ME = jeweilige Maßeinheit, d.h.
- für ""in jeweiligen Preisen"" gilt die Maßeinheit ""Mrd. EUR""
- für ""preisbereinigt, Kettenindex"" gilt die Maßeinheit
  ""2015=100"".

Bruttoinlandsprodukt je Einwohner:
für ""in jeweiligen Preisen"" gilt die Maßeinheit ""EUR"" !

Bruttoinlandsprodukt (Veränderung in %):
Veränderung gegenüber dem Vorjahr in %."
© Statistisches Bundesamt (Destatis), 2023
Stand: 09.06.2023 / 12:57:28
