freq,unit,age,sex,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,NR,TOTAL,T,AD	50887 	54507 	59048 	61599 	65226 	64311 	63859 	64479 	65306 	65877 	65971 	65844 	66334 	67159 	72320 	76875 	78549 	81222 	83137 	84484 	84082 	78115 	78115 	76246 	: 	: 	: 	: 	: 	76177 	: 	: 	: 
A,NR,TOTAL,T,AL	3286500 	3259814 	3190103 	3167478 	3220310 	3248836 	3283000 	3324317 	3354341 	3373445 	3058497 	3063318 	3057018 	3044993 	3034231 	3019634 	3003329 	2981755 	2958266 	2936355 	2918674 	2907361 	2903008 	2897770 	2892394 	2885796 	2875592 	2876591 	2870324 	2862427 	2845955 	2829741 	2793592 
A,NR,TOTAL,T,AM	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3226900 	3215300 	3212900 	3210300 	3212200 	3215800 	3219234 	3222953 	3230086 	3237976 	3249482 	3262650 	3274285 	: 	: 	3010598 	2998577 	2986151 	2972732 	2965269 	2959694 	2963251 	: 
A,NR,TOTAL,T,AT	7644818 	7710882 	7798899 	7882519 	7928746 	7943489 	7953067 	7964966 	7971116 	7982461 	8002186 	8020946 	8063640 	8100273 	8142573 	8201359 	8254298 	8282984 	8307989 	8335003 	8351643 	8375164 	8408121 	8451860 	8507786 	8584926 	8700471 	8772865 	8822267 	8858775 	8901064 	8932664 	8978929 
A,NR,TOTAL,T,AZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8016200 	8081000 	8141400 	8202500 	8265700 	8347300 	8436400 	8532700 	8629900 	8896900 	8997586 	9111078 	9235085 	9356483 	9477119 	9593038 	9705643 	9809981 	9898085 	9981457 	10067108 	10119133 	: 
A,NR,TOTAL,T,BA	4499203 	4517921 	: 	: 	: 	: 	: 	3727439 	3549736 	: 	3753085 e	3789717 e	3813167 e	3830349 e	3837414 e	3842532 e	3842650 	3844017 	3843846 	3843998 	3844046 	3843183 	3839265 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,TOTAL,T,BE	9947782 	9986975 	10021997 	10068319 	10100631 	10130574 	10143047 	10170226 	10192264 	10213752 	10239085 	10263414 	10309725 	10355844 	10396421 	10445852 	10511382 	10584534 	10666866 	10753080 	10839905 	11000638 b	11075889 b	11137974 	11180840 	11237274 	11311117 	11351727 	11398589 	11455519 	11522440 	11554767 	11617623 
A,NR,TOTAL,T,BG	8767308 	8669269 	8595465 	8484863 	8459763 	8427418 	8384715 	8340936 	8283200 	8230371 	8190876 	8149468 	7868815 	7805506 	7745147 	7688573 	7629371 	7572673 	7518002 	7467119 	7421766 	7369431 	7327224 	7284552 	7245677 	7202198 	7153784 	7101859 	7050034 	7000039 	6951482 	6916548 	6838937 
A,NR,TOTAL,T,BY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10019480 	9990435 	9950941 	9898590 	9849062 	9800073 	9750540 	9714461 	9689770 	9671912 	9480178 	9481193 	9465150 	9463840 	9468154 	9480868 	9498364 	9504704 	9491823 	9475174 	: 	: 	: 
A,NR,TOTAL,T,CH	6673850 	6757188 	6842768 	6907959 	6968570 	7019019 	7062354 	7081346 	7096465 	7123537 	7164444 	7204055 	7255653 	7313853 	7364148 	7415102 	7459128 	7508739 	7593494 	7701856 	7785806 	7870134 b	7954662 	8039060 	8139631 	8237666 	8327126 	8419550 	8484130 	8544527 	8606033 	8670300 	8738791 
A,NR,TOTAL,T,CY	572655 	587141 	603069 	619231 	632944 	645399 	656333 	666313 	675215 	682862 	690497 	697549 	705539 	713720 	722893 	733067 	744013 	757916 	776333 	796930 	819140 	839751 	862011 	865878 	858000 	847008 	848319 	854802 	864236 	875899 	888005 	896007 	904705 
A,NR,TOTAL,T,CZ	10362102 	10304607 	10312548 	10325697 	10334013 	10333161 	10321344 	10309137 	10299125 	10289621 	10278098 	10232027 	10201182 	10192649 	10195347 	10198855 	10223577 	10254233 	10343422 	10425783 	10462088 	10486731 	10505445 	10516125 	10512419 	10538275 	10553843 	10578820 	10610055 	10649800 	10693939 	10701777 	10516707 b
A,NR,TOTAL,T,DE	62679035 	79753227 	80274564 	80974632 	81338093 	81538603 	81817499 	82012162 	82057379 	82037011 	82163475 	82259540 	82440309 	82536680 	82531671 	82500849 	82437995 	82314906 	82217837 	82002356 	81802257 	80222065 b	80327900 	80523746 	80767463 	81197537 	82175684 	82521653 	82792351 	83019213 	83166711 	83155031 	83237124 
A,NR,TOTAL,T,DE_TOT	79112831 	79753227 	80274564 	80974632 	81338093 	81538603 	81817499 	82012162 	82057379 	82037011 	82163475 	82259540 	82440309 	82536680 	82531671 	82500849 	82437995 	82314906 	82217837 	82002356 	81802257 	80222065 b	80327900 	80523746 	80767463 	81197537 	82175684 	82521653 	82792351 	83019213 	83166711 	83155031 	83237124 
A,NR,TOTAL,T,DK	5135409 	5146469 	5162126 	5180614 	5196642 	5215718 	5251027 	5275121 	5294860 	5313577 	5330020 	5349212 	5368354 	5383507 	5397640 	5411405 	5427459 	5447084 	5475791 	5511451 	5534738 	5560628 	5580516 	5602628 	5627235 	5659715 	5707251 	5748769 	5781190 	5806081 	5822763 	5840045 	5873420 
A,NR,TOTAL,T,EA18	305147996 	306560327 b	307904205 	309418015 	310450264 	311236281 	312064064 	312860307 	315193283 b	315837523 	316863173 	317960133 	319364999 	321142451 	322915089 	324786228 	326395103 	327954596 	329884170 b	331286399 	332124448 	331520001 b	332285283 b	333073061 	334820880 b	335640859 b	336899429 	337693238 b	338444103 p	338729883 bep	339615386 p	339765354 p	: 
A,NR,TOTAL,T,EA19	308841704 	310262295 b	311610504 	313111944 	314121560 	314879272 	315679276 	316448320 	318755544 b	319373924 	320375247 	321447131 	322819636 	324573948 	326314018 	328141448 	329684938 	331204579 	333096775 b	334470255 	335266424 	334572589 b	335288924 b	336044966 	337764352 b	338562121 b	339787987 	340541142 b	341253004 p	341524067 bep	342409476 p	342561034 p	342805884 bp
A,NR,TOTAL,T,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	346668189 bp
A,NR,TOTAL,T,EE	1570599 	1567749 	1554878 	1511303 	1476952 	1448075 	1425192 	1405996 	1393074 	1379237 	1401250 	1392720 	1383510 	1375190 	1366250 	1358850 	1350700 	1342920 	1338440 	1335740 	1333290 	1329660 	1325217 	1320174 	1315819 	1314870 b	1315944 	1315635 	1319133 	1324820 	1328976 	1330068 	1331796 
A,NR,TOTAL,T,EEA30_2007	474930508 	476594784 b	477892012 	479597438 	480868037 	481891130 	482824056 	483673506 	486062046 b	486803550 	487551317 b	488764781 	489501378 	491260780 	493152394 	495222001 	497099125 	499011219 	501073052 b	502934648 	504079494 b	503949886 b	505113900 b	506310838 	508459052 b	509827848 b	511572077 	512858835 b	514058823 p	514740891 bep	516057754 ep	: 	: 
A,NR,TOTAL,T,EEA31	479703064 	481376963 be	482487877 e	484153209 e	485513192 e	486550023 e	487405223 e	488206534 e	490598858 be	491331010 e	492049052 be	493060187 b	493806872 	495566164 	497458119 	499532862 	501411612 	503324749 	505385019 b	507244444 	508382341 b	508239743 b	509389884 b	510572978 	512705861 b	514053164 b	515762746 	517013048 b	518164316 p	518817137 bep	520115919 ep	: 	: 
A,NR,TOTAL,T,EFTA	11189203 	11291916 	11405515 	11499380 	11588759 	11665036 	11731192 	11775077 	11817765 	11876593 	11954416 	12023715 	12099819 	12188439 	12266469 	12349642 	12434143 	12532713 	12681480 	12856065 	12997529 	13145040 b	13296582 	13449030 	13610401 	13770625 	13907998 	14054026 	14166313 	14268108 	14376494 	14469516 	14579617 
A,NR,TOTAL,T,EL	10120892 	10272691 	10367163 	10430958 	10489871 	10535973 	10588332 	10629267 	10693250 	10747768 	10775627 	10835989 	10888274 	10915770 	10940369 	10969912 	11004716 	11036008 	11060937 	11094745 	11119289 	11123392 	11086406 	11003615 	10926807 	10858018 	10783748 	10768193 	10741165 	10724599 	10718565 	10678632 	10459782 b
A,NR,TOTAL,T,ES	38853227 	38881416 	39051336 	39264034 	39458489 	39639726 	39808374 	39971329 	40143449 	40303568 	40470182 	40665545 	41035278 	41827838 	42547451 	43296338 	44009971 	44784666 	45668939 	46239273 	46486619 	46667174 	46818219 	46727890 	46512199 	46449565 	46440099 	46528024 	46658447 	46937060 	47332614 	47398695 	47432893 
A,NR,TOTAL,T,EU27_2007	470415155 	472060056 b	473329265 	475006017 	476247848 	477245113 	478155218 	478979775 	481340746 b	482050494 	482761345 b	483945121 	484657212 	486386194 	488250073 	490287461 	492124110 	493987245 	495985066 b	497780439 	498867771 b	498674980 b	499771980 b	500900868 	502988282 b	504294889 b	505991205 	507224359 b	508376640 p	509017310 bep	510287293 ep	: 	: 
A,NR,TOTAL,T,EU27_2020	418030739 	419504036 be	420413536 e	421912578 e	423104986 e	423960534 e	424641798 e	425273491 e	427482962 be	427998269 e	428473834 be	429240746 b	429723142 	431190184 	432762039 	434416272 	435816236 	437227496 	438725386 b	440047892 	440660421 b	439942305 b	440552661 b	441257711 	442883888 b	443666812 b	444802830 	445534430 b	446208557 p	446446444 bep	447319916 ep	447207489 ep	446735291 bep
A,NR,TOTAL,T,EU28	475187711 	476842235 be	477925130 e	479561788 e	480893003 e	481904006 e	482736385 e	483512803 e	485877558 be	486577954 e	487259080 be	488240527 b	488962706 	490691578 	492555798 	494598322 	496436597 	498300775 	500297033 b	502090235 	503170618 b	502964837 b	504047964 b	505163008 	507235091 b	508520205 b	510181874 	511378572 b	512482133 p	513093556 bep	: 	: 	: 
A,NR,TOTAL,T,FI	4974383 	4998478 	5029002 	5054982 	5077912 	5098754 	5116826 	5132320 	5147349 	5159646 	5171302 	5181115 	5194901 	5206295 	5219732 	5236611 	5255580 	5276955 	5300484 	5326314 	5351427 	5375276 	5401267 	5426674 	5451270 	5471753 	5487308 	5503297 	5513130 	5517919 	5525292 	5533793 	5548241 
A,NR,TOTAL,T,FR	: 	58313439 	58604851 	58885929 	59104320 	59315139 	59522297 	59726386 	59934884 	60158533 	60545022 	60979315 	61424036 	61864088 	62292241 	62772870 	63229635 	63645065 	64007193 	64350226 	64658856 	64978721 	65276983 b	65600350 	66165980 b	66458153 	66638391 	66809816 	67026224 p	67177636 p	67320216 p	67656682 p	67871925 p
A,NR,TOTAL,T,FX	56577000 	56840661 	57110533 	57369161 	57565008 	57752535 	57935959 	58116018 	58298962 	58496613 	58858198 	59266572 	59685899 	60101841 	60505421 	60963264 	61399733 	61795238 	62134866 	62465709 	62765235 	63070344 	63375971 	63697865 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,TOTAL,T,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4435200 e	4401400 e	4371500 e	4352600 e	4315200 e	4321500 e	4401292 	4394702 	4382070 	4385429 	4436391 	4469250 	4497617 	: 	4490498 	3729500 b	3720400 	3718200 	3729633 	3723464 	3716858 	3728573 	: 
