unit,airpol,src_nfr,geo\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
T,NH3,NFR1A_TRA,AT	908 	1109 	1129 	1130 	1155 	1190 	1229 	1355 	1490 	1656 	1865 	1938 	2068 	2329 	2474 	2582 	2719 	2831 	2791 	2596 	2520 	2474 	2467 	2149 	2055 	1986 	1820 	1640 	1421 	1189 	803 
T,NH3,NFR1A_TRA,BE	847 	1015 	973 	933 	940 	921 	905 	912 	994 	1103 	1208 	1375 	1506 	1697 	1852 	2041 	2228 	2455 	2477 	2625 	2570 	2438 	1556 	1343 	1181 	981 	698 	355 	148 	141 	140 
T,NH3,NFR1A_TRA,BG	698 	739 	765 	830 	900 	925 	884 	763 	820 	820 	863 	874 	798 	775 	740 	614 	450 	425 	383 	314 	287 	255 	220 	148 	157 	133 	100 	77 	47 	24 	46 
T,NH3,NFR1A_TRA,CH	939 	1069 	1096 	1153 	1239 	1353 	1565 	1773 	2038 	2324 	2628 	2902 	3142 	3376 	3532 	3861 	4134 	4386 	4633 	4967 	5168 	3940 	3647 	3437 	3118 	2841 	2726 	2486 	2386 	1932 	1494 
T,NH3,NFR1A_TRA,CY	102 	132 	135 	144 	152 	152 	152 	160 	190 	194 	211 	224 	221 	240 	298 	305 	240 	234 	209 	197 	183 	173 	153 	140 	127 	118 	107 	95 	90 	78 	66 
T,NH3,NFR1A_TRA,CZ	763 	861 	915 	995 	1065 	1099 	1139 	1158 	1265 	1387 	1441 	1711 	1760 	1818 	1729 	1798 	1228 	1212 	1101 	1072 	1115 	1099 	902 	757 	611 	402 	286 	163 	72 	60 	123 
T,NH3,NFR1A_TRA,DE	9397 	11566 	11722 	12290 	12313 	12522 	13172 	13828 	14590 	16048 	16889 	18544 	19985 	21685 	23153 	25003 	27210 	28916 	30777 	32012 	33971 	30082 	30015 	28826 	26270 	23457 	20378 	18694 	15739 	12374 	8643 
T,NH3,NFR1A_TRA,DK	735 	842 	901 	966 	1040 	1136 	1245 	1354 	1508 	1692 	1845 	1999 	2134 	2300 	2385 	2478 	2602 	2613 	2611 	2575 	2543 	2342 	2044 	1679 	1328 	1068 	801 	530 	347 	162 	73 
T,NH3,NFR1A_TRA,EE	111 	140 	140 	145 	149 	151 	149 	159 	182 	194 	207 	221 	245 	246 	231 	204 	214 	141 	129 	123 	98 	56 	45 	45 	34 	26 	21 	11 	7 	16 	17 
T,NH3,NFR1A_TRA,EL	1145 	1381 	1411 	1465 	1491 	1518 	1526 	1531 	1646 	1993 	2098 	2315 	1587 	1668 	1631 	2028 	1736 	1664 	1600 	1658 	1596 	1498 	1219 	1029 	850 	718 	591 	477 	339 	180 	1798 
