freq,unit,na_item,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,CLV10_MEUR,B1GQ,AL	: 	: 	: 	: 	: 	4170.6 	4468.3 	3980.2 	4331.6 	4890.0 	5229.7 	5663.4 	5920.3 	6247.6 	6592.2 	6956.5 	7367.1 	7807.9 	8393.5 d	8675.0 	8996.6 	9225.6 	9356.4 	9450.1 d	9617.8 	9831.2 	10157.1 	10543.3 	10967.1 	11196.0 	10806.2 p	: 	: 
A,CLV10_MEUR,B1GQ,AT	: 	: 	: 	: 	: 	219275.7 	224427.7 	229126.3 	237332.3 	245772.6 	254069.2 	257288.7 	261538.0 	264000.3 	271221.0 	277307.4 	286885.7 	297579.1 	301925.0 	290558.8 	295896.6 	304545.1 	306617.4 	306695.6 	308723.7 	311855.7 	318059.8 	325243.4 	333131.9 	338186.8 	316360.3 	330776.4 	347076.9 
A,CLV10_MEUR,B1GQ,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9127.4 	9348.6 	9818.6 	10198.3 	10843.4 	11266.0 	11875.9 	12571.7 	13255.9 	12857.6 	12968.9 	13093.3 	12985.7 	13290.9 	13444.2 	14024.3 	14479.0 	14948.7 	15521.1 	15969.0 	15487.6 	16632.3 	17280.5 
A,CLV10_MEUR,B1GQ,BE	: 	: 	: 	: 	: 	266098.1 	269614.4 	279842.7 	285332.7 	295441.3 	306421.9 	309791.3 	315079.1 	318349.6 	329718.5 	337373.7 	345984.7 	358706.1 	360309.3 	353028.3 	363140.1 	369293.6 	372023.4 	373731.9 	379631.4 	387381.4 	392288.3 	398641.8 	405789.2 	414966.4 	392713.5 p	417399.2 p	430955.6 p
A,CLV10_MEUR,B1GQ,BG	: 	: 	: 	: 	: 	27228.4 	28645.8 	24602.3 	25534.5 	23390.6 	24463.6 	25399.0 	26890.4 	28298.7 	30141.1 	32268.0 	34463.0 	36756.3 	39009.3 	37703.6 	38284.9 	39089.4 	39384.5 	39163.7 	39542.4 	40897.9 	42141.2 	43305.2 	44467.8 	46263.5 	44432.1 	47824.3 	49431.8 p
A,CLV10_MEUR,B1GQ,CH	334589.0 	331524.8 	331379.8 	330962.3 	335164.8 	336776.5 	338363.6 	346015.1 	356499.3 	362426.8 	376774.2 	382710.9 	382430.7 	382306.8 	392635.6 	403431.9 	419866.3 	436309.8 	448561.3 	438256.2 	452470.6 	460674.3 	466106.9 	474460.2 	485609.4 	493595.9 	503806.9 	510672.7 	525280.3 	531278.9 	518658.0 	540554.3 	551685.5 
A,CLV10_MEUR,B1GQ,CY	: 	: 	: 	: 	: 	11386.8 	11528.9 	11833.4 	12556.5 	13184.1 	13970.6 	14522.8 	15063.4 	15458.6 	16235.6 	17023.5 	17826.0 	18734.7 	19418.0 	19026.6 	19461.1 	19542.2 	18868.5 	17625.6 	17312.5 	17904.4 	19081.4 	20175.4 	21313.8 	22493.7 	21511.6 	22937.9 	24229.9 p
A,CLV10_MEUR,B1GQ,CZ	: 	: 	: 	: 	: 	105831.3 	110345.4 	109773.5 	109382.0 	110896.0 	115333.0 	118842.6 	120708.2 	125034.0 	131053.5 	139705.2 	149158.9 	157467.6 	161697.8 	154167.0 	157920.8 	160700.8 	159439.3 	159366.1 	162971.1 	171752.6 	176110.5 	185213.1 	191177.2 	196969.6 	186130.4 	192743.1 	197486.4 
A,CLV10_MEUR,B1GQ,DE	: 	2044382.0 	2083697.0 	2063342.4 	2112695.3 	2145318.4 	2162605.9 	2201363.3 	2245697.2 	2288079.4 	2354719.8 	2394313.7 	2389573.6 	2372843.7 	2400726.8 	2418293.0 	2510585.8 	2585312.3 	2610128.1 	2461511.7 	2564400.0 	2665057.6 	2676210.8 	2687921.7 	2747312.5 	2788300.5 	2850479.6 	2926879.1 	2955598.6 	2986827.5 p	2876410.8 p	2951973.8 p	3005509.1 p
A,CLV10_MEUR,B1GQ,DK	173032.5 	175444.0 	178877.4 	178896.5 	188436.1 	194141.2 	199771.5 	206285.8 	210861.5 	217077.8 	225211.4 	227065.2 	228124.1 	229014.0 	235124.6 	240618.6 	250034.0 	252307.4 	251015.5 	238699.3 	243165.4 	246416.0 	246974.1 	249279.2 	253316.0 	259250.2 	267665.3 	275218.1 	280693.7 	284885.8 	279203.5 	292760.8 	303941.4 
A,CLV10_MEUR,B1GQ,EA	: 	: 	: 	: 	: 	7119752.9 	7231391.8 	7416082.5 	7634667.7 	7858774.4 	8158474.4 	8526575.6 	8599611.7 	8649331.7 	8842452.8 	8983095.2 	9266021.7 	9570723.8 	9633579.9 	9273220.7 	9472824.1 	9645999.4 	9558702.5 	9534762.8 	9687053.5 	9916751.0 	10101601.7 	10365987.5 	10550718.2 	10717729.7 	10070152.1 	10601981.6 	10966674.9 
A,CLV10_MEUR,B1GQ,EA12	: 	: 	: 	: 	: 	7278625.1 	7394457.7 	7586031.5 	7811097.3 	8040598.3 	8347410.2 	8526575.6 	8599611.7 	8649331.7 	8842452.8 	8983095.2 	9266021.7 	9533196.2 	9568806.6 	9147410.9 	9341418.3 	9496518.7 	9409103.8 	9385675.3 	9513634.0 	9702266.4 	9881034.4 	10135793.5 	10310512.0 	10468750.6 	9828132.1 	10344611.1 	10702414.6 
