,Jahr,Belgien,Bulgarien,Deutschland,Dänemark,EU27_2020,Estland,Finnland,Frankreich,Griechenland,Irland,Island,Italien,Kroatien,Lettland,Lichtenstein,Litauen,Luxemburg,Malta,Niederlande,Norwegen,Polen,Portugal,Rumänien,Schweden,Schweiz,Slowakei,Slowenien,Spanien,Tschechien,Türkei,Ungarn,Zypern,Österreich
0,1990-01-01,,,1245386.0,108898.0,,,111394.9,999521.7,,,,,,,,,,,,94339.9,,,,,209510.1,,,,,,,,
1,1991-01-01,,,1512391.8,112605.4,,,103292.1,1026930.1,,,,,,,,,,,,98551.5,,,,,217548.7,,,,,,,,
2,1992-01-01,,,1647737.1,118194.2,,,86806.9,1083285.9,,,,,,,,,,,,101108.3,,,,,216539.5,,,,,,,,
3,1993-01-01,,,1768471.4,122269.6,,,76101.5,1129359.6,,,,,,,,,,,,102942.5,,,,181713.6,232492.3,,,,,,,,
4,1994-01-01,,,1859310.3,131678.0,,,87157.1,1175736.5,,,,,,,,,,,,107143.6,,,,192863.0,254234.7,,,,,,,,
5,1995-01-01,220251.5,14512.8,1977604.1,141441.4,6337710.4,2988.1,102643.6,1224717.2,104662.1,52881.3,5441.5,898299.3,17524.7,4137.4,,5121.7,15946.2,2846.6,346000.8,116241.0,108834.6,91015.8,28589.8,204328.5,269928.4,15322.9,16340.4,470155.7,46008.4,,35469.4,7596.0,184351.3
6,1996-01-01,219965.3,9829.8,1967956.2,147843.4,6636498.9,3770.0,104142.2,1265105.4,114908.2,59701.5,5833.1,1033759.7,19174.1,4703.6,,6601.8,16462.1,3010.6,354929.1,128671.9,126200.8,96626.8,29035.4,229771.3,268109.3,17053.2,16946.1,506362.6,53088.1,,36758.4,7890.1,186968.1
7,1997-01-01,223032.7,10064.7,1952617.8,153152.1,6819195.7,4553.7,112033.4,1282409.5,126353.8,73118.8,6672.3,1096302.0,21277.6,5751.2,,8922.8,17266.5,3346.8,367861.6,142336.6,140649.2,103306.6,31450.5,236645.7,260234.9,19331.1,18320.7,520831.0,54857.3,,41741.4,8414.3,187853.7
8,1998-01-01,231015.7,13437.6,2000815.9,158146.4,7110871.8,5067.5,119733.4,1343327.3,129057.3,80565.7,7571.0,1134534.9,22931.7,6402.4,,10025.7,18005.7,3581.8,391460.9,137455.3,155011.6,110683.7,37063.3,241468.1,271242.2,20333.8,19784.6,553338.4,59824.8,244959.8,43408.6,9152.6,195011.9
9,1999-01-01,242307.6,12804.4,2059480.0,166972.1,7430927.0,5406.9,126916.0,1400999.0,139945.1,92790.5,8418.2,1175149.5,22183.0,7046.7,,10292.3,20547.8,3861.0,419459.0,152395.0,159561.4,119603.3,33726.8,257109.7,279613.7,19516.1,21227.5,595723.0,61082.9,240103.4,46040.1,9839.7,203850.6
