,Jahr,Belgien,Bulgarien,Deutschland,Dänemark,EU27_2020,Estland,Finnland,Frankreich,Griechenland,Irland,Island,Italien,Kroatien,Lettland,Lichtenstein,Litauen,Luxemburg,Malta,Niederlande,Norwegen,Polen,Portugal,Rumänien,Schweden,Schweiz,Slowakei,Slowenien,Spanien,Tschechien,Türkei,Ungarn,Zypern,Österreich
0,2020-01-01,67996,42703,537268,76254,3441007,9354,30661,572985,63623,123403,4408,362631,31555,15937,101,38202,6148,1411,124374,28598,320817,63281,157116,53309,53400,26594,18166,480202,68428,904494,74931,8237,65420
1,2019-01-01,68339,42083,574998,75133,3471750,9764,32181,595907,63053,125419,4487,349216,30584,16192,101,35391,6128,1397,123948,28673,311355,61901,159663,53030,53663,30058,18327,467346,71998,828173,74436,7947,65956
2,2018-01-01,69664,42640,593892,79590,3552088,9885,32924,608878,63153,135304,4583,351128,32679,16106,98,36270,6198,1390,129706,30777,323978,60525,161356,53567,54449,30430,18708,470972,74471,802429,73837,7788,67051
3,2017-01-01,70193,42876,619803,80671,3593245,10140,33142,614205,63576,128673,4755,363562,32183,16406,97,36820,6138,1359,131773,29606,312911,60358,163349,53674,55044,30435,18825,472038,79029,804600,75152,7666,68286
4,2016-01-01,71961,43694,634996,78514,3576803,10215,34020,618290,64041,124876,4800,369602,29143,16090,99,36848,5926,1408,129297,29958,298716,59658,165399,53437,55144,28996,19235,453013,79628,767322,74678,7567,67556
5,2015-01-01,71761,42422,638743,78128,3561181,10633,34367,617824,64143,119599,4751,357380,31041,16065,101,37639,5861,1502,128940,30051,297598,59152,169511,54666,55295,28321,19026,449639,79158,706778,74141,7282,66639
6,2014-01-01,71183,42067,640355,76725,3522884,10686,36089,610956,65306,114297,4729,356954,27923,16444,102,37298,5839,1531,125931,30224,298557,58241,165882,54545,56114,28711,18596,441608,72392,731191,70481,8435,65853
7,2013-01-01,72782,41236,631779,76622,3503404,10616,35565,606706,68109,117984,4413,369687,29473,16187,101,34628,5671,1588,122783,30635,303325,55854,164921,54582,55736,28698,18699,421794,70598,722095,70099,8272,65146
8,2012-01-01,73549,39681,624578,79096,3514757,10492,36240,609388,68225,117145,4532,387453,35973,15928,106,35038,5671,1533,125465,30288,298597,57419,163338,53519,56478,28433,18953,418117,68387,682495,68467,8881,65193
9,2011-01-01,73628,38514,618047,80725,3522614,10341,36324,608338,70323,110519,4648,379136,37444,15167,105,35295,5883,1541,132039,30002,308405,59230,168106,54534,57076,27533,19108,420535,68317,618981,69243,9393,64944
