,Jahr,Belgien,Bulgarien,Deutschland,Dänemark,EU27_2020,Estland,Finnland,Frankreich,Griechenland,Irland,Island,Italien,Kroatien,Lettland,Lichtenstein,Litauen,Luxemburg,Malta,Niederlande,Norwegen,Polen,Portugal,Rumänien,Schweden,Schweiz,Slowakei,Slowenien,Spanien,Tschechien,Türkei,Ungarn,Zypern,Österreich
0,2020-01-01,112961,73045,1035775,106584,6247418,24398,84587,939183,132336,112638,5371,885419,70295,33606,309,47301,10644,2579,271830,152892,671000,159635,239098,133467,75893,91597,30118,550644,198891,1161391,111837,7122,110828
1,2019-01-01,112089,75510,1072229,103205,6359656,22811,85122,973351,145605,116602,5524,887718,73827,35772,311,52265,11406,2780,243267,141358,668005,148412,244571,135794,77940,94694,30828,570678,219191,1119567,117833,7585,108505
2,2018-01-01,113248,75705,1098973,108080,6469407,22536,86481,989839,146115,116898,5756,894373,69171,39215,308,51967,10611,2717,246681,156631,700037,146112,245123,135390,78788,97772,31803,579055,227521,1093269,117577,7583,108828
3,2017-01-01,114266,82146,1145553,109049,6632673,22728,88358,1012283,150951,116651,5659,921091,68824,35187,312,51765,10697,2885,253053,159836,736866,145796,250505,139560,79789,106150,32172,564970,227571,1114835,123523,7939,112132
4,2016-01-01,116061,82307,1140946,111082,6594623,21965,90447,1024432,156516,113260,5905,880581,71624,34594,320,52234,10668,3350,252640,162173,735567,143659,247364,147066,80751,108181,32655,544773,227142,1088105,126613,7414,111481
5,2015-01-01,117182,85120,1147207,115369,6643795,21827,89964,1047371,164825,111198,5665,897045,70079,35972,326,52837,10533,2995,256527,164232,709787,146057,249913,154068,83197,108532,32472,540097,230142,1110659,126440,7428,112807
6,2014-01-01,118072,82720,1173595,112975,6682378,22216,95105,1074259,171975,109971,5405,924026,69003,38884,335,54033,10862,3481,248542,168607,690354,144702,254569,153442,86513,94034,32169,525971,229727,1067429,122580,7317,117795
7,2013-01-01,124601,87371,1212258,121259,6918078,22311,97436,1092428,175772,112936,5350,996451,75108,38934,342,55016,11555,3624,262469,158445,697946,138699,259942,157448,90135,111188,34827,530583,234249,1074351,131663,7527,124479
8,2012-01-01,128453,91108,1256574,120173,7138058,23272,101734,1099766,193013,111131,5412,1031556,80173,40495,354,55648,12000,3195,266737,159407,745503,140817,267794,165199,92596,115640,35688,542801,236035,1135738,134600,8651,130301
9,2011-01-01,132014,93079,1272347,125319,7297627,22857,105200,1148868,200253,109856,5554,1024951,85778,41129,355,55877,11651,3343,274209,158150,765393,147748,267134,173481,95219,117533,37168,565611,241646,1077809,133783,8877,132521
10,2010-01-01,143892,90054,1361401,131981,7668165,22954,113766,1218987,215069,113064,5726,1116131,90880,40856,359,57277,11717,3501,278046,167279,768708,158237,276241,175960,99218,120708,39652,585073,253499,1104340,130248,12782,137477
11,2009-01-01,145285,97969,1244971,134321,7712209,23847,113092,1208409,249576,116166,6217,1183172,93916,44394,366,58082,12380,3233,267206,163819,800631,157809,289085,179992,101861,120559,40471,585766,256601,1093607,135254,13109,136912
12,2008-01-01,157687,92880,1359028,144240,8243659,26177,121781,1281186,261427,118303,6691,1263830,108133,45537,374,63285,13528,3425,266741,180059,846918,171304,332088,195203,104910,128431,43958,638925,259400,1085238,136340,14258,149644
13,2007-01-01,165859,93446,1421238,147549,8532196,28166,137926,1357586,287849,121885,7089,1286242,109588,50613,379,63189,12283,3499,271315,212988,825530,180700,314808,204104,107148,132423,46061,689481,265278,986477,145109,15581,154889
14,2006-01-01,176081,99595,1483470,150093,8882528,30416,141578,1486156,310160,122694,7232,1304476,113695,51483,387,63855,13459,3523,268314,219672,843026,187602,336362,198827,109993,138226,46114,707590,272171,1090261,159226,15386,158949
15,2005-01-01,182727,102693,1487128,154607,9080478,31601,147662,1587123,333791,122647,7286,1339806,113543,51883,396,61700,15173,3759,273125,249323,787169,195787,335453,203781,113198,144259,48270,737722,274106,1110562,172501,15618,156842
16,2004-01-01,189023,98792,1534466,159555,9293038,32991,158563,1670863,341089,121946,7853,1348533,112803,55740,401,61645,15946,3224,268302,297516,790054,207382,331522,205439,116493,135561,48951,775116,282342,1180026,175315,15001,152876
17,2003-01-01,201445,109939,1537680,163765,9575474,33098,163510,1787105,330533,122503,7759,1451345,108259,56437,439,62002,14505,3357,288194,334154,761735,214271,322875,208235,125796,135218,51078,795122,292194,1220450,180170,14692,166207
18,2002-01-01,211947,111316,1618946,167424,9809806,34140,167962,1839020,318889,124088,8024,1471229,104533,57001,467,61717,15822,3632,294939,381017,794500,225153,307841,208141,134140,135861,51612,828287,296037,1290715,175786,13747,170234
19,2001-01-01,228042,102396,1710628,172772,10214902,35689,176570,1967125,305757,123873,8264,1566064,102011,58100,497,60892,15856,3633,310411,423912,780864,231310,306889,212881,145394,149058,55631,853793,307533,1472944,189020,13112,174992
20,2000-01-01,234341,126664,1805638,182269,10649519,35355,178978,2060648,308443,123861,8846,1629889,104345,55117,571,63117,16093,3912,339190,414122,812313,237796,320979,222893,154185,147823,55069,881765,320077,1607335,189095,13364,180486
21,1999-01-01,258875,113742,1970804,184318,11266407,35956,186337,2165237,315412,130211,9118,1806699,106616,56624,593,70818,16994,4139,358759,403768,845225,238242,305963,232968,163890,147800,55896,924302,330137,1006329,185865,13852,204617
22,1998-01-01,276163,121702,2132634,191057,11800769,39144,192603,2255973,313228,139623,9439,1873507,108412,59064,619,79775,17576,4305,379167,395512,856256,246814,335391,241409,171023,155237,58657,961536,345761,1561396,186702,13238,215837
23,1997-01-01,284856,117778,2189587,200327,12149086,42699,197295,2312242,307375,136942,9447,1961526,109464,61621,663,87432,18838,4589,375994,402894,923589,243611,361220,252584,182151,154650,62874,938939,371964,1469287,193378,13609,224103
24,1996-01-01,301482,205408,2244353,212329,12648291,41630,197253,2428487,309127,139816,9563,2006943,122185,65218,710,87943,20027,4482,409019,403389,952761,239335,357039,273833,194475,167598,66198,950230,391021,1371598,202511,13626,238437
25,1995-01-01,310685,158251,2341593,210511,12785211,40266,204502,2496241,303400,138965,9626,2058272,119601,64864,836,86381,20918,4982,436972,400074,938063,239320,307858,278730,205525,173789,62842,923432,392628,1304310,210464,13753,247927
26,1994-01-01,319390,235359,2469073,214544,13239953,36234,212715,2577143,314506,140857,9810,2076998,99076,66284,897,86503,22613,5003,468567,384916,938125,243718,300693,293704,221803,185202,62825,950581,427605,1342305,215360,13526,263747
27,1993-01-01,336933,413360,2884001,213054,14166759,33583,213534,2723666,312455,144018,9916,2128065,101907,70841,1018,95241,24872,4940,503394,368972,941858,244198,286012,299642,236846,200580,61930,952543,447532,946325,229364,13059,286176
28,1992-01-01,345871,419915,3066292,221191,14717116,42033,219706,2844715,312173,146324,10057,2133387,104415,76775,1110,107233,27306,4710,525837,349118,855540,256693,310115,332551,265140,226410,61394,1035632,480678,937984,241604,13147,305470
29,1991-01-01,346069,415211,3379887,221240,15348039,61627,225777,2925480,317799,151113,10013,2062937,137196,85342,1235,131356,29137,4400,571352,323499,871303,251461,336589,352404,287823,239059,62698,1050897,505871,925262,269989,12950,328897
30,1990-01-01,352951,456574,3891582,212932,16039881,64764,235515,2893127,316597,149672,10026,1993432,171757,89318,1311,128364,27842,4359,607234,325210,828897,249416,403905,367724,302161,258010,65178,1049767,566058,896345,307084,13325,334498
