,Jahr,Belgien,Bulgarien,Deutschland,Dänemark,EU27_2020,Estland,Finnland,Frankreich,Griechenland,Irland,Island,Italien,Kroatien,Lettland,Lichtenstein,Litauen,Luxemburg,Malta,Niederlande,Norwegen,Polen,Portugal,Rumänien,Schweden,Schweiz,Slowakei,Slowenien,Spanien,Tschechien,Türkei,Ungarn,Zypern,Österreich
0,2020-01-01,134779,91597,979224,89025,5497357,23758,105392,659807,221870,94986,19326,570618,45809,32233,238,54037,16067,5036,210772,147784,593905,135015,204400,118084,53341,56028,25313,633101,153771,867288,107049,11581,124102
1,2019-01-01,155563,95613,1108822,96757,6173240,26014,119901,778887,249649,103065,20734,639254,48527,34818,261,56059,19847,5331,234647,157628,628068,154580,217127,126053,61022,58816,29378,741450,171421,891949,114785,14257,144551
2,2018-01-01,167599,100338,1182944,104068,6529852,31095,127089,816147,258675,111323,21941,658899,49666,36334,278,56692,21040,5000,250179,164716,673598,160682,221764,134229,64360,62471,32614,798180,184041,864243,120290,13119,151776
3,2017-01-01,174183,104022,1266978,109866,6784853,32113,130379,873573,267641,110878,21428,658373,54879,35468,293,56044,22898,5373,257499,167841,703732,166401,219539,138173,67641,63306,34124,810396,191145,858893,121447,13519,162904
4,2016-01-01,185113,114180,1317184,112340,6922840,31513,134633,905617,262176,113362,21171,700934,54387,35158,313,57456,25767,6022,267705,172502,675367,163243,211079,143621,71044,63816,34587,806981,194880,873271,120306,13576,171835
5,2015-01-01,196550,118997,1344550,112332,7140006,30975,138933,956156,262942,113374,22867,715695,54363,36918,341,57414,28471,6627,283593,181114,670192,170199,219900,146288,72901,67912,35170,847473,204078,860495,128000,13752,179150
6,2014-01-01,196131,120439,1367104,113831,7258499,35134,150832,976271,269093,110626,21908,753255,53656,37614,356,55529,31968,7728,286484,189667,689831,167261,221441,150490,77068,66225,38816,825086,209467,855741,125900,16013,182275
7,2013-01-01,206205,114670,1412104,123079,7544350,36987,158508,1049594,273552,111841,22289,776316,57253,37991,381,52546,34103,7735,310784,191435,741036,169680,227473,152670,81084,69040,42858,830337,214853,870162,127730,15390,190014
8,2012-01-01,215318,130326,1412094,128087,7871182,37691,161436,1071177,285380,110239,23196,847170,58074,38751,387,55890,37457,9515,321602,194612,780579,173597,246030,156511,81251,77150,45608,900741,227357,932896,131601,20946,190852
9,2011-01-01,226710,157669,1420198,138705,8220293,40766,171310,1093929,325887,107819,23356,896439,65893,38538,394,55622,40092,8661,341409,198218,817676,186942,250165,163531,80967,80587,47065,949078,239326,956195,138426,21481,196368
10,2010-01-01,243906,139024,1445670,147922,8510268,42466,187211,1149624,363557,120671,25634,934735,69494,40959,403,56722,39383,10037,354500,200145,838173,203796,241301,170380,85106,87852,47875,950543,252934,1000631,147992,18775,204767
11,2009-01-01,242436,153704,1432953,152689,8721501,36598,176458,1183782,434663,127734,27224,964911,77316,39828,426,53536,38518,8614,359948,195772,821647,220725,255452,166205,85813,89799,48643,1004209,255625,1059071,151112,19996,204399
12,2008-01-01,272957,163175,1528376,171552,9440531,42667,193626,1261939,454858,152406,27503,1052327,84703,42505,446,62784,43204,10196,398497,206351,837822,233437,302547,178899,90769,100281,58336,1120715,272421,1129017,162228,19851,218221
13,2007-01-01,299826,163014,1590910,187560,10116379,45420,210960,1345376,481177,167516,29692,1171251,88142,46696,462,64100,46459,10095,407674,212686,865871,251347,308538,186979,90949,98759,54082,1313622,290051,1213527,168108,21480,231365
14,2006-01-01,309966,164709,1641443,201273,10412508,40810,223853,1410611,482539,171529,27471,1237976,85695,46564,488,62736,51331,9682,424552,209327,874040,261589,328260,191605,92269,99294,55396,1313284,291677,1267252,172035,21726,238336
