,Jahr,Belgien,Bulgarien,Deutschland,Dänemark,EU27_2020,Estland,Finnland,Frankreich,Griechenland,Irland,Island,Italien,Kroatien,Lettland,Lichtenstein,Litauen,Luxemburg,Malta,Niederlande,Norwegen,Polen,Portugal,Rumänien,Schweden,Schweiz,Slowakei,Slowenien,Spanien,Tschechien,Türkei,Ungarn,Zypern,Österreich
0,1990-01-01,9947782,8767308,62679035,5135409,418030739,1570599,4974383,,10120892,3506970,253785,56694360,4772556,2668140,28452,3693708,379300,352430,14892574,4233116,38038403,9995995,23211395,8527039,6673850,5287663,1996377,38853227,10362102,55494711.0,10374823,572655,7644818
1,1991-01-01,9986975,8669269,79753227,5146469,419504036,1567749,4998478,58313439.0,10272691,3520977,255866,56744119,4782179,2658161,29032,3701968,384400,361908,15010445,4249830,38183160,9970441,23192274,8590630,6757188,5310711,1999945,38881416,10304607,56714051.0,10373153,587141,7710882
2,1992-01-01,10021997,8595465,80274564,5162126,420413536,1554878,5029002,58604851.0,10367163,3547492,259727,56772923,4595865,2643000,29386,3706299,389600,365781,15129150,4273634,38309226,9950029,22810035,8644120,6842768,5295877,1998912,39051336,10312548,57835076.0,10373647,603069,7798899
3,1993-01-01,10068319,8484863,80974632,5180614,421912578,1511303,5054982,58885929.0,10430958,3569367,262386,56821250,4555771,2585675,29868,3693929,394750,369455,15239182,4299167,38418108,9954958,22778533,8692013,6907959,5314155,1994084,39264034,10325697,58958565.0,10365035,619231,7882519
4,1994-01-01,10100631,8459763,81338093,5196642,423104986,1476952,5077912,59104320.0,10489871,3583154,265064,56842392,4645155,2540904,30310,3671296,400200,373161,15341553,4324815,38504707,9974391,22748027,8745109,6968570,5336455,1989408,39458489,10334013,60079060.0,10350010,632944,7928746
5,1995-01-01,10130574,8427418,81538603,5215718,423960534,1448075,5098754,59315139.0,10535973,3597617,266978,56844408,4658893,2500580,30629,3642991,405650,376433,15424122,4348410,38580597,10008659,22712394,8816381,7019019,5356207,1989477,39639726,10333161,61203584.0,10336700,645399,7943489
6,1996-01-01,10143047,8384715,81817499,5251027,424641798,1425192,5116826,59522297.0,10588332,3620065,267958,56844197,4581167,2469531,30923,3615212,411600,378404,15493889,4369957,38609399,10043693,22656145,8837496,7062354,5367790,1990266,39808374,10321344,62337617.0,10321229,656333,7953067
7,1997-01-01,10170226,8340936,82012162,5275121,425273491,1405996,5132320,59726386.0,10629267,3654955,269874,56876364,4533028,2444912,31143,3588013,416850,381405,15567107,4392714,38639341,10084196,22581862,8844499,7081346,5378932,1986989,39971329,10309137,63484661.0,10301247,666313,7964966
8,1998-01-01,10192264,8283200,82057379,5294860,427482962,1393074,5147349,59934884.0,10693250,3693386,272381,56904379,4536812,2420789,31320,3562261,422050,384176,15654192,4417599,38659979,10133758,22526093,8847625,7096465,5387650,1984923,40143449,10299125,64641675.0,10279724,675215,7971116
9,1999-01-01,10213752,8230371,82037011,5313577,427998269,1379237,5159646,60158533.0,10747768,3732006,275712,56909109,4527460,2399248,32015,3536401,427350,386397,15760225,4445329,38666983,10186634,22488595,8854322,7123537,5393382,1978334,40303568,10289621,65786563.0,10253416,682862,7982461
10,2000-01-01,10239085,8190876,82163475,5330020,428473834,1401250,5171302,60545022.0,10775627,3777565,279049,56923524,4497735,2381715,32426,3512074,433600,388759,15863950,4478497,38263303,10249022,22455485,8861426,7164444,5398657,1987755,40470182,10278098,66889425.0,10221644,690497,8002186
11,2001-01-01,10263414,8149468,82259540,5349212,429240746,1392720,5181115,60979315.0,10835989,3832783,283361,56960692,4295406,2353384,32863,3486998,439000,391415,15987075,4503436,38253955,10330774,22430457,8882792,7204055,5378783,1990094,40665545,10232027,64729501.0,10200298,697549,8020946
12,2002-01-01,10309725,7868815,82440309,5368354,429723142,1383510,5194901,61424036.0,10888274,3899702,286575,56987507,4305494,2320956,33525,3454637,444050,394641,16105285,4524066,38242197,10394669,21833483,8909128,7255653,5378951,1994026,41035278,10201182,65603160.0,10174853,705539,8063640
13,2003-01-01,10355844,7805506,82536680,5383507,431190184,1375190,5206295,61864088.0,10915770,3964191,288471,57130506,4305384,2299390,33863,3431497,448300,397296,16192572,4552252,38218531,10444592,21627509,8940788,7313853,5374873,1995033,41827838,10192649,66401851.0,10142362,713720,8100273
14,2004-01-01,10396421,7745147,82531671,5397640,432762039,1366250,5219732,62292241.0,10940369,4028851,290570,57495900,4305725,2276520,34294,3398929,454960,399867,16258032,4577457,38190608,10473050,21521142,8975670,7364148,5371875,1996433,42547451,10195347,67187251.0,10116742,722893,8142573
15,2005-01-01,10445852,7688573,82500849,5411405,434416272,1358850,5236611,62772870.0,10969912,4111672,293577,57874753,4310861,2249724,34600,3355220,461230,402668,16305526,4606363,38173835,10494672,21382354,9011392,7415102,5372685,1997590,43296338,10198855,68010221.0,10097549,733067,8201359
16,2006-01-01,10511382,7629371,82437995,5427459,435816236,1350700,5255580,63229635.0,11004716,4208156,299891,58064214,4312487,2227874,34905,3289835,469086,404999,16334210,4640219,38157055,10511988,21257016,9047752,7459128,5372928,2003358,44009971,10223577,68860539.0,10076581,744013,8254298
17,2007-01-01,10584534,7572673,82314906,5447084,437227496,1342920,5276955,63645065.0,11036008,4340118,307672,58223744,4313530,2208840,35168,3249983,476187,405616,16357992,4681134,38125479,10532588,21130503,9113257,7508739,5373180,2010377,44784666,10254233,69729967.0,10066158,757916,8282984
18,2008-01-01,10666866,7518002,82217837,5475791,438725386,1338440,5300484,64007193.0,11060937,4457765,315459,58652875,4311967,2191810,35356,3212605,483799,407832,16405399,4737171,38115641,10553339,20635460,9182927,7593494,5376064,2010269,45668939,10343422,70586256.0,10045401,776333,8307989
19,2009-01-01,10753080,7467119,82002356,5511451,440047892,1335740,5326314,64350226.0,11094745,4521322,319368,59000586,4309796,2162834,35589,3183856,493500,410926,16485787,4799252,38135876,10563014,20440290,9256347,7701856,5382401,2032362,46239273,10425783,71517100.0,10030975,796930,8335003
20,2010-01-01,10839905,7421766,81802257,5534738,440660421,1333290,5351427,64658856.0,11119289,4549428,317630,59190143,4302847,2120504,35894,3141976,502066,414027,16574989,4858199,38022869,10573479,20294683,9340682,7785806,5390410,2046976,46486619,10462088,72561312.0,10014324,819140,8351643
21,2011-01-01,11000638,7369431,80222065,5560628,439942305,1329660,5375276,64978721.0,11123392,4570881,318452,59364690,4289857,2074605,36149,3052588,511840,414989,16655799,4920305,38062718,10572721,20199059,9415570,7870134,5392446,2050189,46667174,10486731,73722988.0,9985722,839751,8375164
22,2012-01-01,11075889,7327224,80327900,5580516,440552661,1325217,5401267,65276983.0,11086406,4589287,319575,59394207,4275984,2044813,36475,3003641,524853,417546,16730348,4985870,38063792,10542398,20095996,9482855,7954662,5404322,2055496,46818219,10505445,74724269.0,9931925,862011,8408121
23,2013-01-01,11137974,7284552,80523746,5602628,441257711,1320174,5426674,65600350.0,11003615,4609779,321857,59685227,4262140,2023825,36838,2971905,537039,422509,16779575,5051275,38062535,10487289,20020074,9555893,8039060,5410836,2058821,46727890,10516125,75627384.0,9908798,865878,8451860
24,2014-01-01,11180840,7245677,80767463,5627235,442883888,1315819,5451270,66165980.0,10926807,4637852,325671,60782668,4246809,2001468,37129,2943472,549680,429424,16829289,5107970,38017856,10427301,19947311,9644864,8139631,5415949,2061085,46512199,10512419,76667864.0,9877365,858000,8507786
25,2015-01-01,11237274,7202198,81197537,5659715,443666812,1314870,5471753,66458153.0,10858018,4677627,329100,60795612,4225316,1986096,37366,2921262,562958,439691,16900726,5166493,38005614,10374822,19870647,9747355,8237666,5421349,2062874,46449565,10538275,77695904.0,9855571,847008,8584926
