Zeit,Luftemissionsart,Luftemission in t
1995,CH4,4199388
1995,CO2,986805126
1995,Feinst10,440103
1995,HFC,8217
1995,N2O,205674
1995,NH3,679903
1995,NMVOC,2063277
1995,NOX,2414063
1995,PFC,2088
1995,SF6,192
1995,SO2,1937301
1996,CH4,4093929
1996,CO2,1007803586
1996,Feinst10,414544
1996,HFC,7528
1996,N2O,209913
1996,NH3,687204
1996,NMVOC,1991432
1996,NOX,2336420
1996,PFC,2043
1996,SF6,203
1996,SO2,1647731
1997,CH4,3919766
1997,CO2,989137499
1997,Feinst10,431196
1997,HFC,8131
1997,N2O,200323
1997,NH3,682268
1997,NMVOC,1967063
1997,NOX,2289870
1997,PFC,1655
1997,SF6,212
1997,SO2,1415991
1998,CH4,3708604
1998,CO2,982016799
1998,Feinst10,416281
1998,HFC,8711
1998,N2O,157058
1998,NH3,689689
1998,NMVOC,1923193
1998,NOX,2250144
1998,PFC,1784
1998,SF6,220
1998,SO2,1166081
1999,CH4,3683142
1999,CO2,959369240
1999,Feinst10,422112
1999,HFC,8834
1999,N2O,145673
1999,NH3,696475
1999,NMVOC,1780411
1999,NOX,2249689
1999,PFC,1487
1999,SF6,156
1999,SO2,997526
2000,CH4,3470886
2000,CO2,959831772
2000,Feinst10,335967
2000,HFC,6031992
2000,N2O,144391
2000,NH3,629314
2000,NMVOC,1821639
2000,NOX,2058050
2000,PFC,956325
2000,SF6,4072497
2000,SO2,739906
2001,CH4,3330796
2001,CO2,991768121
2001,Feinst10,367905
2001,HFC,7456574
2001,N2O,151904
2001,NH3,634265
2001,NMVOC,1735509
2001,NOX,2166633
2001,PFC,869602
2001,SF6,3751778
2001,SO2,830198
2002,CH4,3173672
2002,CO2,978369339
2002,Feinst10,373830
2002,HFC,8093329
2002,N2O,148491
2002,NH3,621852
2002,NMVOC,1645367
2002,NOX,2141418
2002,PFC,945648
2002,SF6,3082252
2002,SO2,799594
2003,CH4,3040831
2003,CO2,989454427
2003,Feinst10,359526
2003,HFC,8303517
2003,N2O,147364
2003,NH3,619244
2003,NMVOC,1566661
2003,NOX,2106823
2003,PFC,1015447
2003,SF6,3013410
2003,SO2,770232
2004,CH4,2844316
2004,CO2,993591363
2004,Feinst10,415094
2004,HFC,8754562
2004,N2O,154318
2004,NH3,604355
2004,NMVOC,1569246
2004,NOX,2235186
2004,PFC,977401
2004,SF6,3241044
2004,SO2,887199
2005,CH4,2717740
2005,CO2,980777540
2005,Feinst10,370503
2005,HFC,9009545
2005,N2O,148776
2005,NH3,610933
2005,NMVOC,1521514
2005,NOX,2120639
2005,PFC,836768
2005,SF6,3252036
2005,SO2,781026
2006,CH4,2567239
2006,CO2,1006327613
2006,Feinst10,318572
2006,HFC,9379149
2006,N2O,145586
2006,NH3,606556
2006,NMVOC,1518948
2006,NOX,2142193
2006,PFC,668469
2006,SF6,3200643
2006,SO2,654597
2007,CH4,2487738
2007,CO2,997846664
2007,Feinst10,331575
2007,HFC,9805141
2007,N2O,156073
2007,NH3,614157
2007,NMVOC,1459078
2007,NOX,2219948
2007,PFC,587338
2007,SF6,3089621
2007,SO2,691358
2008,CH4,2444501
2008,CO2,1012773438
2008,Feinst10,338883
2008,HFC,9768870
2008,N2O,152032
2008,NH3,618106
2008,NMVOC,1397712
2008,NOX,2211188
2008,PFC,565999
2008,SF6,2942666
2008,SO2,713577
2009,CH4,2347500
2009,CO2,942011551
2009,Feinst10,303179
2009,HFC,10031486
2009,N2O,153486
2009,NH3,620260
2009,NMVOC,1280334
2009,NOX,2033826
2009,PFC,405899
2009,SF6,2942523
2009,SO2,610209
2010,CH4,2306535
2010,CO2,996759595
2010,Feinst10,291408
2010,HFC,10339225
2010,N2O,126476
2010,NH3,622396
2010,NMVOC,1397149
2010,NOX,2078824
2010,PFC,345374
2010,SF6,3002479
2010,SO2,563269
2011,CH4,2262658
2011,CO2,967946624
2011,Feinst10,281262
2011,HFC,10786313
2011,N2O,126695
2011,NH3,628097
2011,NMVOC,1305847
2011,NOX,1984057
2011,PFC,278513
2011,SF6,3035333
2011,SO2,525669
2012,CH4,2291727
2012,CO2,989084360
2012,Feinst10,286398
2012,HFC,10975414
2012,N2O,128207
2012,NH3,633928
2012,NMVOC,1289739
2012,NOX,2039430
2012,PFC,242196
2012,SF6,3082587
2012,SO2,527165
2013,CH4,2264867
2013,CO2,1005447222
2013,Feinst10,287771
2013,HFC,10979929
2013,N2O,128969
2013,NH3,639977
2013,NMVOC,1244051
2013,NOX,2029526
2013,PFC,256944
2013,SF6,3122344
2013,SO2,512668
2014,CH4,2217803
2014,CO2,947783273
2014,Feinst10,273723
2014,HFC,11129391
2014,N2O,131203
2014,NH3,647295
2014,NMVOC,1204140
2014,NOX,1915584
2014,PFC,234335
2014,SF6,3066148
2014,SO2,484764
2015,CH4,2205861
2015,CO2,964539872
2015,Feinst10,280987
2015,HFC,11377721
2015,N2O,131091
2015,NH3,643246
2015,NMVOC,1180694
2015,NOX,2089076
2015,PFC,244184
2015,SF6,3246743
2015,SO2,363962
2016,CH4,2153787
2016,CO2,961951786
2016,Feinst10,276579
2016,HFC,11346718
2016,N2O,130139
2016,NH3,640608
2016,NMVOC,1172663
2016,NOX,1940655
2016,PFC,252128
2016,SF6,3457207
2016,SO2,336862
2017,CH4,2128807
2017,CO2,950311851
2017,Feinst10,268580
2017,HFC,11175754
2017,N2O,128252
2017,NH3,626396
2017,NMVOC,1177336
2017,NOX,2016315
2017,PFC,257157
2017,SF6,3759573
2017,SO2,330359
2018,CH4,2056834
2018,CO2,926306990
2018,Feinst10,266055
2018,HFC,10250797
2018,N2O,122571
2018,NH3,603935
2018,NMVOC,1159210
2018,NOX,2068173
2018,PFC,289594
2018,SF6,3870615
2018,SO2,322917
2019,CH4,1973309
2019,CO2,879206343
2019,Feinst10,270709
2019,HFC,9611808
2019,N2O,120023
2019,NH3,589267
2019,NMVOC,1156657
2019,NOX,1923303
2019,PFC,231756
2019,SF6,3919330
2019,SO2,291536
