,Jahr,Belgien,Bulgarien,Deutschland,Dänemark,EU27_2020,Estland,Finnland,Frankreich,Griechenland,Irland,Island,Italien,Kroatien,Lettland,Litauen,Luxemburg,Malta,Niederlande,Norwegen,Polen,Portugal,Rumänien,Schweden,Schweiz,Slowakei,Slowenien,Spanien,Tschechien,Ungarn,Zypern,Österreich
0,1990-01-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1,1991-01-01,101.4,81.8,96.3,114.4,97.8,92.9,97.1,104.7,99.7,101.6,94.8,100.4,78.0,93.1,104.2,105.0,94.4,103.6,95.4,97.6,103.2,81.8,99.8,103.1,87.3,92.7,102.8,90.9,93.3,110.0,104.7
2,1992-01-01,101.1,76.5,92.5,106.4,94.9,67.5,95.0,103.2,101.0,101.4,92.6,100.3,72.0,74.1,64.4,103.1,97.7,104.1,92.5,95.1,109.6,75.9,99.1,102.9,79.5,92.7,106.2,88.0,83.0,116.7,96.6
3,1993-01-01,100.3,76.1,91.8,109.5,93.3,54.0,98.0,99.3,100.7,103.2,94.6,99.0,72.3,61.0,51.6,104.3,119.2,104.5,96.3,95.1,107.0,71.8,99.8,98.7,75.0,94.0,102.7,84.6,84.0,119.3,97.2
4,1994-01-01,103.4,71.8,90.4,115.1,92.9,55.1,105.8,97.9,103.6,105.4,93.2,97.9,69.7,53.5,48.7,98.7,113.5,104.9,100.0,93.8,108.6,70.7,103.4,97.1,71.5,96.2,108.4,80.2,83.1,123.5,97.5
5,1995-01-01,105.0,73.4,89.9,111.2,94.0,49.8,100.7,99.0,105.4,108.0,97.2,103.0,71.8,48.3,46.6,81.2,107.0,105.4,100.6,94.2,116.4,73.4,102.7,98.9,72.1,100.4,114.1,79.7,81.9,123.6,101.7
6,1996-01-01,107.8,73.5,91.3,129.2,95.9,52.1,109.1,102.5,108.2,111.6,99.6,102.1,73.2,48.6,48.6,82.0,110.1,110.2,106.4,97.1,112.6,74.5,108.1,100.3,71.9,103.6,111.4,81.3,84.2,128.7,105.8
7,1997-01-01,102.3,70.1,88.6,116.1,94.5,51.5,107.3,101.1,112.6,114.5,104.2,103.5,77.6,46.5,47.7,78.0,111.8,106.8,106.6,94.9,118.0,72.0,101.5,98.4,71.7,106.4,116.4,79.0,82.6,129.9,105.4
8,1998-01-01,106.1,66.0,86.7,110.9,93.8,47.1,102.2,103.8,117.9,119.2,108.8,106.0,78.0,44.5,49.5,72.3,110.4,107.1,106.8,88.5,126.1,65.3,102.2,101.3,70.7,104.3,119.8,75.9,82.1,135.7,104.6
9,1999-01-01,102.3,58.7,84.0,107.3,92.4,44.3,101.4,103.2,118.2,121.8,115.0,107.2,82.0,41.5,43.7,76.7,112.8,101.9,109.0,86.0,139.6,58.4,98.2,101.5,69.0,101.1,129.0,70.9,82.6,140.2,102.6
10,2000-01-01,103.1,57.9,83.9,101.5,92.2,43.4,98.7,102.2,121.3,126.1,117.0,108.0,80.9,39.1,40.4,80.8,108.9,101.1,107.7,83.1,138.5,55.3,96.5,100.6,66.5,100.0,134.3,75.9,79.7,144.7,103.0
11,2001-01-01,101.8,60.8,85.0,103.7,93.2,44.4,106.1,103.2,122.2,130.5,112.8,108.4,84.6,41.3,42.0,85.3,116.9,101.5,110.0,82.8,137.6,56.8,97.5,102.7,69.5,106.8,134.0,75.7,81.5,146.2,107.8
12,2002-01-01,101.3,58.3,83.3,102.6,92.8,43.0,109.4,102.1,122.2,127.5,114.2,109.3,87.9,41.2,42.7,91.8,116.9,100.7,107.4,80.7,144.8,57.5,98.0,99.4,67.7,108.2,140.2,73.8,79.7,149.3,109.9
13,2003-01-01,101.8,63.4,83.0,109.6,94.5,47.8,120.0,102.9,126.5,128.3,113.8,113.2,92.5,42.1,43.1,95.6,124.8,100.9,108.7,83.5,136.7,59.8,98.4,100.5,67.8,106.5,142.9,75.4,82.7,156.5,116.5
14,2004-01-01,102.2,62.5,81.6,101.8,94.7,48.2,115.0,103.0,127.1,126.8,117.7,114.3,92.6,42.0,44.8,106.9,121.7,101.9,109.6,84.6,142.3,59.2,97.8,101.1,68.8,108.5,148.6,76.0,81.6,158.4,116.6
15,2005-01-01,100.0,63.2,79.8,96.1,94.3,47.7,98.4,103.3,130.9,130.5,114.9,114.6,94.3,42.7,46.6,109.0,115.6,99.5,107.6,84.6,145.6,58.8,94.1,102.3,68.9,109.9,154.0,75.0,81.5,159.2,118.3
16,2006-01-01,98.3,63.9,80.4,106.6,94.3,46.2,114.4,101.5,127.8,130.3,131.2,112.8,95.6,44.5,47.3,107.1,117.3,97.3,108.0,87.8,137.9,59.3,93.7,102.0,68.6,110.9,151.9,75.7,80.1,163.4,115.4
17,2007-01-01,96.1,67.8,78.4,100.3,93.7,55.0,112.4,99.8,130.4,128.6,139.4,112.0,100.1,46.4,51.4,103.3,121.0,96.7,111.4,87.6,134.3,60.6,92.4,99.1,66.2,112.0,155.8,76.5,78.4,168.3,112.1
18,2008-01-01,96.3,66.5,78.4,95.4,91.8,49.9,101.3,98.9,127.2,127.2,147.0,109.5,97.3,44.9,49.6,102.5,117.0,96.7,108.5,86.3,130.5,59.4,89.4,102.0,67.0,115.9,144.4,74.0,76.3,172.1,111.3
19,2009-01-01,87.5,57.5,73.1,91.2,85.2,41.2,96.0,94.7,120.2,116.0,137.0,98.9,90.3,42.3,41.1,98.0,111.7,93.8,103.8,82.4,125.0,51.1,83.1,99.2,61.1,104.2,130.6,69.2,69.8,167.7,102.6
20,2010-01-01,92.5,60.1,75.7,91.5,87.0,52.5,107.0,95.4,114.4,115.2,135.4,101.2,89.1,46.5,43.1,102.6,115.3,99.0,108.8,86.1,118.4,49.3,91.3,102.2,62.2,105.4,125.6,70.6,70.4,162.8,108.5
21,2011-01-01,85.7,65.5,73.7,84.5,84.8,52.5,96.7,91.0,111.7,107.4,131.1,98.9,88.2,43.5,43.9,101.1,115.6,92.9,107.1,85.8,116.2,51.7,85.6,95.7,60.9,105.0,126.0,69.8,68.7,158.4,106.0
22,2012-01-01,83.6,60.4,74.3,78.3,83.3,49.9,88.9,91.3,108.3,108.8,131.5,95.3,82.8,42.9,43.9,98.5,121.3,90.8,106.2,84.1,113.0,50.8,81.4,98.1,57.7,101.6,123.4,67.7,65.0,149.6,102.4
23,2013-01-01,83.5,55.2,75.9,80.7,81.5,54.5,89.6,91.1,99.3,108.8,133.2,88.5,79.1,42.6,41.6,94.6,110.6,90.7,106.9,83.3,109.9,46.2,79.3,99.7,57.2,97.9,114.2,65.0,62.0,137.5,102.9
24,2014-01-01,79.8,58.3,72.7,75.2,78.7,52.5,83.7,85.3,96.4,108.4,135.1,84.5,76.8,42.1,41.4,91.5,111.5,87.3,107.7,80.6,110.0,46.1,76.9,93.0,54.6,89.1,114.9,64.0,62.4,143.4,98.4
25,2015-01-01,82.8,61.2,72.9,71.4,79.7,44.9,78.9,86.1,92.8,113.3,139.7,86.6,78.1,42.2,42.1,89.1,88.1,90.6,108.4,81.2,117.0,45.7,76.6,92.4,55.6,90.1,119.1,64.7,65.7,143.8,101.4
26,2016-01-01,81.8,58.7,73.2,74.4,79.9,48.9,82.8,86.4,89.6,117.4,144.5,86.2,78.9,42.4,42.3,88.5,79.4,91.0,106.6,83.5,114.4,45.1,76.9,93.3,56.2,94.7,115.5,65.5,66.3,152.8,102.8
27,2017-01-01,81.7,60.7,72.1,71.4,80.5,52.2,79.1,87.0,93.5,117.2,152.6,85.3,81.9,42.7,42.6,91.4,87.0,90.0,105.2,86.7,123.4,46.3,76.0,91.9,57.7,95.2,120.4,65.9,68.9,157.6,105.6
28,2018-01-01,82.4,56.4,69.4,71.4,78.9,50.1,80.8,83.7,90.9,118.2,158.0,84.8,78.8,44.7,42.1,94.6,88.9,87.7,105.4,86.8,117.9,46.4,75.0,89.9,57.5,94.4,118.8,65.1,69.0,155.9,101.8
29,2019-01-01,81.7,54.9,65.3,66.2,75.7,36.5,76.6,82.1,84.7,113.7,145.7,82.7,79.5,44.3,42.5,95.7,94.2,85.1,102.0,82.1,112.4,45.1,73.2,89.6,54.4,91.7,112.5,62.3,68.7,156.9,103.7
30,2020-01-01,74.4,48.6,59.0,59.8,68.3,28.4,67.4,73.1,72.1,106.2,122.6,73.9,75.3,40.6,41.9,81.4,81.7,75.4,96.4,78.5,97.8,43.5,64.7,78.7,50.5,84.9,95.3,56.6,66.3,139.7,93.8
31,2021-01-01,77.5,54.6,61.6,61.6,72.0,31.6,67.4,77.2,75.2,111.8,130.1,80.4,77.4,41.8,42.2,85.9,84.4,77.0,95.6,84.6,95.8,44.8,67.0,81.4,55.9,85.6,101.6,59.3,67.6,145.9,98.5
