,Jahr,Belgien,Bulgarien,Deutschland,Dänemark,EU27_2020,Estland,Finnland,Frankreich,Griechenland,Irland,Island,Italien,Kroatien,Lettland,Litauen,Luxemburg,Malta,Niederlande,Norwegen,Polen,Portugal,Rumänien,Schweden,Schweiz,Slowakei,Slowenien,Spanien,Tschechien,Türkei,UK,Ungarn,Zypern,Österreich
0,2010-01-01,,278.9,10279.5,,53915.3,,,9970.6,,552.6,,6821.9,,75.8,425.0,93.0,,,,2718.4,,1087.4,1179.2,1647.2,288.7,278.9,4677.3,,,5891.5,,169.0,1304.6
1,2011-01-01,,261.7,11415.3,,53144.4,,,10017.6,,370.6,,6253.7,,88.0,376.2,105.1,,,,2930.5,,1211.9,1429.3,1830.6,303.8,331.9,3157.3,,,4601.0,,130.9,1217.8
2,2012-01-01,,211.5,11700.8,,53823.3,,,10098.1,,382.5,,6609.0,,148.0,373.2,103.4,,,,2707.8,,965.9,1592.5,1836.6,341.1,404.5,2780.9,1516.3,,6671.9,,117.1,1246.6
3,2013-01-01,,380.2,11331.4,,52389.7,,,10281.5,,380.2,,5344.8,,172.4,252.3,133.7,11.9,3678.5,1261.5,2585.2,,1051.8,1561.1,1890.9,263.4,367.2,2309.6,1405.2,1145.8,7117.1,,114.5,1228.3
4,2014-01-01,2110.4,833.0,12079.8,,53252.0,231.6,601.2,9773.2,767.4,555.4,24.5,4783.2,228.5,139.0,303.5,141.8,23.9,4088.7,1169.0,3405.2,610.0,1131.6,1572.3,1887.6,337.2,496.0,2235.3,1569.6,1220.3,7332.8,1347.6,43.9,692.6
5,2015-01-01,2079.7,941.8,11314.0,,56456.5,234.3,654.5,9470.4,685.3,500.2,30.4,5446.1,225.2,151.9,219.0,136.6,74.8,4567.4,1423.2,3623.3,684.4,1656.5,1781.7,2123.5,651.2,509.6,2369.6,1911.4,1252.9,9783.8,1690.0,76.2,690.3
6,2016-01-01,2082.6,282.1,11730.0,,47334.0,104.1,721.7,9157.5,383.6,439.2,40.8,5477.3,243.8,71.9,186.3,161.8,14.1,3055.7,1128.6,1493.7,511.3,609.2,1939.6,2102.0,295.5,273.0,2219.1,1134.1,1248.0,8196.8,428.6,58.1,763.0
7,2017-01-01,2451.9,235.2,12142.0,,49741.4,129.8,634.0,9817.9,276.2,444.9,43.5,5401.4,246.0,77.5,122.6,196.5,16.7,2753.6,1142.7,1604.0,571.7,456.8,2030.0,2043.2,338.8,222.1,2427.4,1369.2,1396.6,7978.9,481.0,61.7,1202.0
8,2018-01-01,2828.9,255.1,13449.6,,55289.8,182.7,673.5,10318.7,381.3,544.1,51.1,5441.5,247.8,93.6,140.9,220.9,20.7,3257.6,1216.3,2438.5,656.3,700.3,2308.1,1933.7,332.9,300.6,2633.5,1611.3,1252.0,,638.0,33.4,1384.2
9,2019-01-01,2748.5,232.5,13977.8,,58680.8,111.2,526.6,11479.5,363.1,667.3,75.1,5626.1,247.5,124.0,194.6,219.7,25.9,3327.9,1347.9,2846.8,704.4,733.5,2335.5,2111.6,322.4,313.1,2831.2,1621.9,1004.0,,988.3,101.8,1457.3
