GENESIS-Tabelle: 12411-0005
Bevölkerung: Deutschland, Stichtag, Altersjahre;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;
Deutschland;;;;;
Bevölkerungsstand (Anzahl);;;;;
;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag
;31.12.2017;31.12.2018;31.12.2019;31.12.2020;31.12.2021
unter 1 Jahr;785074;783978;774870;769380;791254
1-Jährige;796149;796374;794132;783593;780795
2-Jährige;770628;802651;802415;798366;789145
3-Jährige;760868;776763;807816;806198;803334
4-Jährige;734059;766631;782143;811601;810805
5-Jährige;732088;739729;771479;785754;816142
6-Jährige;715528;736749;743954;774587;789397
7-Jährige;732586;720613;741969;747447;779278
8-Jährige;721168;738238;725807;745883;752469
9-Jährige;740846;726909;743761;729897;750855
10-Jährige;736082;746345;732376;747757;734666
11-Jährige;721745;741530;751663;736417;752600
12-Jährige;730820;726923;746670;755570;741247
13-Jährige;746890;735760;731698;750180;760080
14-Jährige;747228;751622;740506;735170;754868
15-Jährige;760238;752351;756823;744218;740018
16-Jährige;781964;766517;757882;760578;750057
17-Jährige;824185;787745;771938;761348;766249
18-Jährige;841946;835762;798514;779039;772950
19-Jährige;872234;861102;854086;811591;797706
20-Jährige;918164;891659;878869;865943;831435
21-Jährige;913985;934518;905902;885430;884287
22-Jährige;899827;929523;947646;910983;902991
23-Jährige;918306;916924;944591;955511;930132
24-Jährige;952232;934648;931423;952624;973682
25-Jährige;971610;967092;947032;939020;968595
26-Jährige;1009672;985364;978142;953617;953757
27-Jährige;1105660;1021919;995515;984464;966208
28-Jährige;1092555;1116459;1030314;1000769;994633
29-Jährige;1118583;1102501;1123468;1035069;1009536
30-Jährige;1094733;1127589;1109227;1127628;1042411
31-Jährige;1075886;1103635;1133582;1112935;1134154
32-Jährige;1043548;1083657;1109010;1136859;1118705
33-Jährige;1036879;1050793;1088700;1112354;1141779
34-Jährige;1039206;1043355;1055201;1091312;1116555
35-Jährige;1060221;1045184;1048086;1058097;1094982
36-Jährige;1051212;1065675;1048762;1050221;1061333
37-Jährige;1056495;1056516;1069168;1050675;1053033
38-Jährige;1004728;1060769;1059479;1070818;1053223
39-Jährige;990554;1009272;1063715;1061065;1072623
40-Jährige;981486;995070;1011818;1065188;1062573
41-Jährige;962843;985641;997428;1013187;1066630
42-Jährige;937518;966513;987623;998596;1014635
43-Jährige;949657;941433;968885;988332;999583
44-Jährige;956853;953081;943272;969585;988878
45-Jährige;1035587;959668;954462;944048;969960
46-Jährige;1138293;1038269;960829;954793;943804
47-Jährige;1179668;1140019;1038797;960699;954234
48-Jährige;1265662;1180738;1139590;1038215;959948
49-Jährige;1324077;1265825;1179680;1138105;1036458
50-Jährige;1357827;1323697;1263945;1177845;1135710
51-Jährige;1392300;1356220;1320960;1261618;1174754
52-Jährige;1395078;1389766;1352770;1318051;1257877
53-Jährige;1418449;1391794;1385608;1348886;1313453
54-Jährige;1404391;1414471;1386952;1380824;1343318
55-Jährige;1357082;1399366;1408832;1381357;1374519
56-Jährige;1334645;1351589;1392942;1402572;1373938
57-Jährige;1286991;1327937;1344388;1385607;1394414
58-Jährige;1247579;1279695;1319852;1336643;1376677
59-Jährige;1175219;1239631;1271291;1311139;1327249
60-Jährige;1144314;1166642;1230109;1261935;1300524
61-Jährige;1108669;1135091;1157125;1220021;1250775
62-Jährige;1070337;1098993;1124758;1146667;1208290
63-Jährige;1045334;1059645;1087957;1113442;1134297
64-Jährige;1006399;1033543;1047822;1076072;1100158
65-Jährige;999682;994300;1021046;1035309;1061809
66-Jährige;973689;986573;981186;1007452;1020393
67-Jährige;967521;960173;972595;967555;991948
68-Jährige;928887;953314;946118;958288;951916
69-Jährige;841915;914137;938087;930500;941864
70-Jährige;784815;827191;898100;921770;913046
71-Jährige;676907;770080;811462;881247;902997
72-Jährige;589302;662844;754507;795008;862165
73-Jährige;779008;575993;648189;737688;776134
74-Jährige;781877;760437;561837;632357;718950
75-Jährige;746906;761531;740528;546752;614207
76-Jährige;892443;726066;740375;718997;530053
77-Jährige;918608;865057;704285;717058;694896
78-Jährige;882457;887604;836403;680345;691201
79-Jährige;795009;849126;854829;804876;653265
80-Jährige;713800;761230;814346;818459;769265
81-Jährige;658716;679410;726011;775452;777644
82-Jährige;601037;622557;643708;687458;732760
83-Jährige;521955;563565;585337;604464;644569
84-Jährige;389704;484835;524879;544669;561973
85 Jahre und mehr;2265473;2277509;2386854;2505932;2625444
Insgesamt;82792351;83019213;83166711;83155031;83237124
__________
"Bis 1989: Früheres Bundesgebiet

Ab 2011: Ergebnisse auf Grundlage des Zensus 2011."
© Statistisches Bundesamt (Destatis), 2022
Stand: 12.06.2023 / 10:53:33
