GENESIS-Tabelle: 12611-0001
Eheschlieﬂungen, Eheschlieﬂungen je 1000 Einwohner:;;
Deutschland, Jahre;;
Statistik der Eheschlieﬂungen;;
Deutschland;;
;Eheschlieﬂungen;Eheschlieﬂungen je 1000 Einwohner
;Anzahl;Anzahl
1950;750452;11,0
1951;718166;10,4
1952;659779;9,5
1953;620121;8,9
1954;605392;8,7
1955;617228;8,8
1956;630932;8,9
1957;632659;8,9
1958;648471;9,1
1959;665844;9,2
1960;689028;9,5
1961;699339;9,5
1962;696317;9,4
1963;655974;8,8
1964;642037;8,5
1965;621130;8,2
1966;606133;8,0
1967;600247;7,9
1968;563826;7,3
1969;571737;7,4
1970;575233;7,4
1971;562235;7,2
1972;548707;7,0
1973;532022;6,7
1974;516081;6,5
1975;528811;6,7
1976;510318;6,5
1977;505889;6,5
1978;469278;6,0
1979;481707;6,2
1980;496603;6,3
1981;487832;6,2
1982;486856;6,2
1983;495392;6,3
1984;498040;6,4
1985;496175;6,4
1986;509320;6,6
1987;523847;6,7
1988;534903;6,8
1989;529597;6,7
1990;516388;6,5
1991;454291;5,7
1992;453428;5,6
1993;442605;5,5
1994;440244;5,4
1995;430534;5,3
1996;427297;5,2
1997;422776;5,2
1998;417420;5,1
1999;430674;5,2
2000;418550;5,1
2001;389591;4,7
2002;391963;4,8
2003;382911;4,6
2004;395992;4,8
2005;388451;4,7
2006;373681;4,5
2007;368922;4,5
2008;377055;4,6
2009;378439;4,6
2010;382047;4,7
2011;377816;4,7
2012;387423;4,8
2013;373655;4,6
2014;385952;4,8
2015;400115;4,9
2016;410426;5,0
2017;407466;4,9
2018;449466;5,4
2019;416324;5,0
2020;373304;4,5
2021;357785;4,3
2022;390767;4,6
__________
"Eheschlieﬂungen je 1000 Einwohner:
Ab 2011: Ergebnisse auf Grundlage des Zensus 2011.

Ab 2018:
Einschlieﬂlich Eheschlieﬂungen von Personen gleichen
Geschlechts."
© Statistisches Bundesamt (Destatis), 2023
Stand: 12.06.2023 / 13:10:05
