GENESIS-Tabelle: 12612-0002
Lebendgeborene: Deutschland, Monate, Geschlecht;;;;
Statistik der Geburten;;;;
Deutschland;;;;
Lebendgeborene (Anzahl);;;;
;;männlich;weiblich;Insgesamt
2019;Januar;32598;30677;63275
2019;Februar;29273;27911;57184
2019;März;31703;29976;61679
2019;April;32130;30504;62634
2019;Mai;33313;31629;64942
2019;Juni;34383;32333;66716
2019;Juli;37427;35233;72660
2019;August;36727;34835;71562
2019;September;36021;34036;70057
2019;Oktober;34043;32787;66830
2019;November;30936;29624;60560
2019;Dezember;30738;29253;59991
2020;Januar;32664;31049;63713
2020;Februar;30188;28512;58700
2020;März;31646;30584;62230
2020;April;31404;29835;61239
2020;Mai;33457;31247;64704
2020;Juni;33916;32194;66110
2020;Juli;36626;34436;71062
2020;August;35892;33800;69692
2020;September;35924;33533;69457
2020;Oktober;33855;32164;66019
2020;November;30461;29041;59502
2020;Dezember;31352;29364;60716
2021;Januar;32883;31442;64325
2021;Februar;31076;29519;60595
2021;März;34538;32522;67060
2021;April;32571;31030;63601
2021;Mai;33551;31197;64748
2021;Juni;33878;32107;65985
2021;Juli;37240;35027;72267
2021;August;37184;35358;72542
2021;September;36519;34843;71362
2021;Oktober;35332;33490;68822
2021;November;32271;30624;62895
2021;Dezember;31431;29859;61290
2022;Januar;30021;28385;58406
2022;Februar;27526;26201;53727
2022;März;29755;28380;58135
2022;April;29591;27859;57450
2022;Mai;33253;31831;65084
2022;Juni;33110;31554;64664
2022;Juli;35140;33245;68385
2022;August;34910;33038;67948
2022;September;34419;32516;66935
2022;Oktober;32620;30755;63375
2022;November;29524;28305;57829
2022;Dezember;29261;27657;56918
2023;Januar;28219;26429;54648
2023;Februar;26288;24911;51199
__________
© Statistisches Bundesamt (Destatis), 2023
Stand: 12.06.2023 / 11:10:41
