GENESIS-Tabelle: 12613-0002
Gestorbene: Deutschland, Jahre, Geschlecht;;;
Statistik der Sterbef‰lle;;;
Deutschland;;;
Gestorbene (Anzahl);;;
;m‰nnlich;weiblich;Insgesamt
1950;375323;373006;748329
1951;380155;372542;752697
1952;387003;380636;767639
1953;400373;390281;790654
1954;392610;382681;775291
1955;404123;391815;795938
1956;415159;396952;812111
1957;430465;409730;840195
1958;417137;401281;818418
1959;426160;409242;835402
1960;446999;429722;876721
1961;432908;417392;850300
1962;448131;430683;878814
1963;455128;439942;895070
1964;443114;427205;870319
1965;459097;448785;907882
1966;459150;452834;911984
1967;459058;455359;914417
1968;486547;489974;976521
1969;492798;495294;988092
1970;482696;492968;975664
1971;475685;489938;965623
1972;476166;489523;965689
1973;473694;489294;962988
1974;466355;490218;956573
1975;481191;508458;989649
1976;468081;498792;966873
1977;451686;479469;931155
1978;461723;493827;955550
1979;453496;490978;944474
1980;455924;496447;952371
1981;453247;501189;954436
1982;446365;497467;943832
1983;443055;497977;941032
1984;430859;486440;917299
1985;433752;495897;929649
1986;427946;497480;925426
1987;418712;482579;901291
1988;417428;483199;900627
1989;417098;486343;903441
1990;425093;496352;921445
1991;421818;489427;911245
1992;410583;474860;885443
1993;415874;481396;897270
1994;409375;475286;884661
1995;410663;473925;884588
1996;408082;474761;882843
1997;398313;462076;860389
1998;393443;458939;852382
1999;390742;455588;846330
2000;388981;449816;838797
2001;383887;444654;828541
2002;389116;452570;841686
2003;396270;457676;853946
2004;383388;434883;818271
2005;388554;441673;830227
2006;385940;435687;821627
2007;391139;436016;827155
2008;397651;446788;844439
2009;404969;449575;854544
2010;409022;449746;858768
2011;407628;444700;852328
2012;416423;453159;869582
2013;429645;464180;893825
2014;422225;446131;868356
2015;449512;475688;925200
2016;448304;462595;910902
2017;457756;474507;932272
2018;470032;484842;954874
2019;465885;473635;939520
2020;492797;492775;985572
2021;515559;508128;1023687
2022;532292;534025;1066317
__________
"Ohne Totgeborene, nachtr‰glich beurkundete Kriegssterbef‰lle
und gerichtliche Todeserkl‰rungen.

Ab 2016:
Gesamtzahl der Sterbef‰lle einschlieﬂlich F‰lle mit
unbestimmtem Geschlecht."
© Statistisches Bundesamt (Destatis), 2023
Stand: 12.06.2023 / 10:57:46
