GENESIS-Tabelle: 12612-0001
Lebendgeborene: Deutschland, Jahre, Geschlecht;;;
Statistik der Geburten;;;
Deutschland;;;
Lebendgeborene (Anzahl);;;
;männlich;weiblich;Insgesamt
1950;578191;538510;1116701
1951;571699;534681;1106380
1952;571152;533932;1105084
1953;564929;530100;1095029
1954;572559;537184;1109743
1955;575079;538329;1113408
1956;586127;551042;1137169
1957;602041;563514;1165555
1958;607095;568775;1175870
1959;641377;602545;1243922
1960;648928;612686;1261614
1961;675417;638088;1313505
1962;677283;639251;1316534
1963;696986;658609;1355595
1964;698046;659258;1357304
1965;682200;643186;1325386
1966;677053;641250;1318303
1967;653649;618627;1272276
1968;624373;590595;1214968
1969;587443;554923;1142366
1970;537922;509815;1047737
1971;521361;492035;1013396
1972;463472;438185;901657
1973;418899;397070;815969
1974;413510;391990;805500
1975;402790;379520;782310
1976;409749;388585;798334
1977;414649;390847;805496
1978;415866;392753;808619
1979;419590;397627;817217
1980;444148;421641;865789
1981;442540;419560;862100
1982;442759;418516;861275
1983;425439;402494;827933
1984;417247;395045;812292
1985;417248;396555;813803
1986;434901;413331;848232
1987;446671;421298;867969
1988;459051;433942;892993
1989;451586;428873;880459
1990;465379;440296;905675
1991;426098;403921;830019
1992;414807;394307;809114
1993;410071;388376;798447
1994;395869;373734;769603
1995;392729;372492;765221
1996;409213;386800;796013
1997;417006;395167;812173
1998;402865;382169;785034
1999;396296;374448;770744
2000;393323;373676;766999
2001;377586;356889;734475
2002;369277;349973;719250
2003;362709;344012;706721
2004;362017;343605;705622
2005;351757;334038;685795
2006;345816;326908;672724
2007;351839;333023;684862
2008;349862;332652;682514
2009;341249;323877;665126
2010;347237;330710;677947
2011;339899;322786;662685
2012;345629;327915;673544
2013;349820;332249;682069
2014;366835;348092;714927
2015;378478;359097;737575
2016;405585;386546;792141
2017;402510;382374;784901
2018;404052;383471;787523
2019;399292;378798;778090
2020;397385;375759;773144
2021;408474;387018;795492
2022;379130;359726;738856
__________
"Ab 2016:
Die Gesamtzahl der Lebendgeborenen enthält auch die Fälle
mit unbestimmtem Geschlecht."
© Statistisches Bundesamt (Destatis), 2023
Stand: 12.06.2023 / 14:22:33
