"Monat";"Zuzüge aus dem Ausland";"Fortzüge ins Ausland";"Wanderungssaldo"
"2018-01-01 01:00:00";131,999;88,123;43,876
"2018-02-01 01:00:00";118,712;92,902;25,81
"2018-03-01 01:00:00";130,361;95,416;34,945
"2018-04-01 02:00:00";130,518;85,918;44,6
"2018-05-01 02:00:00";120,917;86,994;33,923
"2018-06-01 02:00:00";128,955;97,218;31,737
"2018-07-01 02:00:00";140,168;115,095;25,073
"2018-08-01 02:00:00";141,986;121,257;20,729
"2018-09-01 02:00:00";164,627;109,963;54,664
"2018-10-01 02:00:00";160,598;104,465;56,133
"2018-11-01 01:00:00";119,042;89,89;29,152
"2018-12-01 01:00:00";90,984;105,426;-14,442
"2019-01-01 01:00:00";136,116;90,965;45,151
"2019-02-01 01:00:00";120,036;95,433;24,603
"2019-03-01 01:00:00";134,244;101,461;32,783
"2019-04-01 02:00:00";122,455;95,909;26,546
"2019-05-01 02:00:00";114,822;97,155;17,667
"2019-06-01 02:00:00";120,024;100,247;19,777
"2019-07-01 02:00:00";138,054;122,578;15,476
"2019-08-01 02:00:00";134,367;120,539;13,828
"2019-09-01 02:00:00";165,36;114,937;50,423
"2019-10-01 02:00:00";152,268;105,225;47,043
"2019-11-01 01:00:00";111,532;93,687;17,845
"2019-12-01 01:00:00";93,641;110,702;-17,061
"2020-01-01 01:00:00";131,214;92,6;38,614
"2020-02-01 01:00:00";114,29;92,692;21,598
"2020-03-01 01:00:00";87,1;79,518;7,582
"2020-04-01 02:00:00";48,707;51,153;-2,446
"2020-05-01 02:00:00";60,842;60,704;0,138
"2020-06-01 02:00:00";86,744;77,861;8,883
"2020-07-01 02:00:00";111,918;89,095;22,823
"2020-08-01 02:00:00";118,373;92,431;25,942
"2020-09-01 02:00:00";128,144;92,531;35,613
"2020-10-01 02:00:00";131,381;92,017;39,364
"2020-11-01 01:00:00";95,55;76,398;19,152
"2020-12-01 01:00:00";73,77;82,447;-8,677
"2021-01-01 01:00:00";88,686;69,743;18,943
"2021-02-01 01:00:00";87,096;73,523;13,573
"2021-03-01 01:00:00";98,206;76,188;22,018
"2021-04-01 02:00:00";91,855;71,282;20,573
"2021-05-01 02:00:00";88,786;74,37;14,416
"2021-06-01 02:00:00";102,667;82,347;20,32
"2021-07-01 02:00:00";119,363;94,111;25,252
"2021-08-01 02:00:00";127,584;96,105;31,479
"2021-09-01 02:00:00";147,77;96,316;51,454
"2021-10-01 02:00:00";151,225;96,468;54,757
"2021-11-01 01:00:00";127,025;84,854;42,171
"2021-12-01 01:00:00";94,496;92,942;1,554
"2022-01-01 01:00:00";113,382;77,754;35,628
"2022-02-01 01:00:00";125,479;78,046;47,433
"2022-03-01 01:00:00";563,12;84,383;478,737
"2022-04-01 02:00:00";317,828;85,956;231,872
"2022-05-01 02:00:00";232,644;98,987;133,657
"2022-06-01 02:00:00";183,07;100,874;82,196
"2022-07-01 02:00:00";184,841;119,25;65,591
"2022-08-01 02:00:00";213,305;130,01;83,295
"2022-09-01 02:00:00";213,853;119,908;93,945
"2022-10-01 02:00:00";205,577;110,796;94,781
"2022-11-01 01:00:00";171,431;101,607;69,824
"2022-12-01 01:00:00";147,478;109,86;37,618
"2023-01-01 01:00:00";169,944;92,366;77,578
"2023-02-01 01:00:00";154,312;97,497;56,815
